"popid"	"lower_b"	"med_b"	"upper_b"	"order"	"lower_w"	"med_w"	"upper_w"	"order.x"	"order.y"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"
"60"	"ito.HA.Orius.sauteri"	0.165846349177667	0.202356987347157	0.228265770277593	"Hemiptera"	0.0219490221167954	0.0476473288385652	0.0833768782002468	"Hemiptera"	"Hemiptera"	13.2514456923999	13.3658487281522	13.4857150643912	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	39.388611	141.116944	7
"61"	"ito.KU.Orius.sauteri"	0.184276842729437	0.215163303985832	0.237394949377106	"Hemiptera"	0.0127744132306992	0.0348537325012681	0.0654119524456363	"Hemiptera"	"Hemiptera"	14.0739096933743	14.3479402521232	14.4711324227397	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	43.733333	143.733333	6
"62"	"ito.ME.Orius.sauteri"	0.206831847680784	0.231138242820661	0.243880039067451	"Hemiptera"	0.00634589124991787	0.0189785254740752	0.0428564424475983	"Hemiptera"	"Hemiptera"	14.4957202218649	14.5103615153359	14.5591508737936	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	42.916667	143.05	6
"63"	"ito.MO.Orius.sauteri"	0.13792210808231	0.180358159549833	0.218326268190914	"Hemiptera"	0.0317240444213528	0.0682209958506549	0.107679567663891	"Hemiptera"	"Hemiptera"	14.0186576324798	14.16755467094	14.4588226466517	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	42.1	140.583333	6
"64"	"ito.SA.Orius.sauteri"	0.201168569045132	0.223887788519469	0.239817283550679	"Hemiptera"	0.0104158478882431	0.0261601858113701	0.0483470526114936	"Hemiptera"	"Hemiptera"	14.0771372429938	14.3020857703379	14.4613142579247	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	43.061944	141.354167	7
"65"	"ito.TU.Orius.sauteri"	0.125102445745995	0.164620998149048	0.193263629962279	"Hemiptera"	0.0554923958791105	0.0819780862558313	0.122686963027744	"Hemiptera"	"Hemiptera"	12.7312094411616	12.902905354354	13.0979152813256	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	36.080556	140.114722	7
"66"	"ito.WA.Orius.sauteri"	0.209877382172022	0.232152570528672	0.242874686025414	"Hemiptera"	0.00736705050297884	0.0180072629434299	0.039868707842934	"Hemiptera"	"Hemiptera"	14.8258398772712	14.9435194278943	14.9910568533319	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	45.3975	141.700881	8
"67"	"jordan.33.Aedes.sierrensis"	0.000563698354487733	0.0105874249513298	0.0307311873615027	"Diptera"	0.0984410762506863	0.138944500939549	0.196825016469219	"Diptera"	"Diptera"	9.61315817373163	12.3393625573145	13.4724642211937	"jordan"	1978	"5"	"US"	"Aedes"	"sierrensis"	"global average"	33.363484	-116.836394	6
"68"	"jordan.36.Aedes.sierrensis"	0.0746862885425454	0.116719617816381	0.159371779591809	"Diptera"	0.0863415653599045	0.123266012601202	0.165920841094413	"Diptera"	"Diptera"	12.0062248618018	12.3561474601937	12.9295398809062	"jordan"	1978	"5"	"US"	"Aedes"	"sierrensis"	"global average"	35.944167	-121.083333	6
"69"	"jordan.39.Aedes.sierrensis"	0.110316756740451	0.164344979905843	0.208142381899153	"Diptera"	0.0413419021817489	0.0825255426795503	0.131376319351437	"Diptera"	"Diptera"	12.0689740392106	12.486035726718	12.9170656640395	"jordan"	1978	"5"	"US"	"Aedes"	"sierrensis"	"global average"	38.89	-121.08	4
"70"	"jordan.42.Aedes.sierrensis"	0.193765474792973	0.228672377904269	0.244904353388013	"Diptera"	0.00533260213574769	0.0213958229644098	0.0552856666419312	"Diptera"	"Diptera"	13.0253461933019	13.287768387384	13.8934718458456	"jordan"	1978	"5"	"US"	"Aedes"	"sierrensis"	"global average"	41.726667	-122.6375	7
"71"	"jordan.45.Aedes.sierrensis"	0.0628679586375788	0.131786871519873	0.202254717713326	"Diptera"	0.0466224824567032	0.103254357286335	0.138376192193055	"Diptera"	"Diptera"	13.079135048004	13.5364162351344	13.9591284514087	"jordan"	1978	"5"	"US"	"Aedes"	"sierrensis"	"global average"	44.384444	-123.110278	4
"72"	"kato.Fuchu.Atrophaneura.alcinous"	0.205575865055473	0.236031216538835	0.247485508372027	"Lepidoptera"	0.00275907095217334	0.0141353192760343	0.0438266197623378	"Lepidoptera"	"Lepidoptera"	14.08204161656	14.5029052140155	14.9150080877596	"kato"	2005	"6"	"Japan"	"Atrophaneura"	"alcinous"	"global average"	35.668969	139.477669	5
