"pop" "spec" "order" "yi" "upper" "lower" "p" "vi"
"153" "lumme.Z.Drosophila.littoralis" "littoralis" "Diptera" 0.918615568389498 0.952689260658258 0.88748193418737 1.48644405071404 0.00425199542548097
"154" "pegoraro. BOL.Drosophila.melanogaster" "melanogaster" "Diptera" 0.0456758624339811 0.0754768300997887 0.022059872080556 2.70451811708076 0.00285337140402847
"155" "pegoraro. HU.Drosophila.melanogaster" "melanogaster" "Diptera" 0.225601556444194 0.299101528360938 0.14386086697659 0.955659679284327 0.0240996629470498
"156" "pegoraro. KOR.Drosophila.melanogaster" "melanogaster" "Diptera" 0.0572244953608412 0.0885326938128408 0.0317706496714893 1.29510303156337 0.00322192965510474
"157" "pegoraro. MREN.Drosophila.melanogaster" "melanogaster" "Diptera" 0.0806084512561254 0.11882806441077 0.0481608798446972 1.09749656869466 0.0049938509744954
"158" "pegoraro. SAL.Drosophila.melanogaster" "melanogaster" "Diptera" 0.102437690349655 0.175345968858119 0.0614685725198789 1.70584689959525 0.0129680613967766
"159" "pegoraro. SP22.Drosophila.melanogaster" "melanogaster" "Diptera" 0.0959238916667761 0.158734742432017 0.0526095212948956 0.935653393514427 0.0112625625614029
"160" "riihimaa. Kuopio.Chymomyza.costata" "costata" "Diptera" 0.923257301710076 0.951188439548216 0.885038662413788 1.16504340894911 0.00437579301493448
"161" "riihimaa. Oulo1.Chymomyza.costata" "costata" "Diptera" 0.426250993733988 0.461256753859128 0.391020003826099 1.07540774485975 0.0049332010552022
"162" "riihimaa. Oulo2.Chymomyza.costata" "costata" "Diptera" 0.390862219468579 0.425932286744072 0.355643629032458 1.07540774485975 0.00494049540290044
"163" "riihimaa. Punkaharju.Chymomyza.costata" "costata" "Diptera" 0.684473358697164 0.721024532942024 0.643749154470305 1.13090203750761 0.0059714841179474
"164" "riihimaa. Sapporo.Chymomyza.costata" "costata" "Diptera" 0.893377935109401 0.922123197612387 0.858238531147688 0.913486436156404 0.00408125060930584
"165" "riihimaa. Varkaus.Chymomyza.costata" "costata" "Diptera" 0.974747619353324 0.987368835938478 0.94546686035107 1.24199718977546 0.00175577555812774
"166" "riihimaa.Kuusamo4.Chymomyza.costata" "costata" "Diptera" 0.248968978086705 0.284274140141528 0.213047106775259 1.4293059469275 0.0050732902821596
"167" "shroyer.Alabama.Aedes.triseriatus" "triseriatus" "Diptera" 0.116147467154807 0.160657848412018 0.0780822868511151 1.74417058984979 0.00681872336709846
"168" "shroyer.BURDETTE.Aedes.triseriatus" "triseriatus" "Diptera" 0.932030266880891 0.955905086973251 0.900326779437128 1.25475151855727 0.00308894826857987
"169" "shroyer.KRAMERI.Aedes.triseriatus" "triseriatus" "Diptera" 0.728554137406391 0.784807831949928 0.667756259630177 1.25475151855727 0.0137010705825259
"170" "shroyer.ORONOIII.Aedes.triseriatus" "triseriatus" "Diptera" 0.72910336200578 0.780020126180074 0.663777732779572 1.08441603553729 0.0135122940234771
"171" "shroyer.TOPSY.Aedes.triseriatus" "triseriatus" "Diptera" 0.825386611881699 0.886118923369219 0.752247309099831 1.79424971649561 0.0179216091070918
"172" "shroyer.UNDERCIV.Aedes.triseriatus" "triseriatus" "Diptera" 0.708863896049942 0.762845423119508 0.650000395190643 1.54282689503491 0.0127340003282663
